id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639-3,iso639-1,scope,type,speakers,logo,logoDesc
4914,Nyunga,,"Noongar, Nyuunga",62,nyun1247,pama1250,sout3134,language,-33.1199,118.151,AU,nys,,I,L,,,
4915,Nyawaygi,,,2,nyaw1247,pama1250,nyaw1248,language,-18.8743,146.216,AU,nyt,,I,E,,,
4916,Nyungwe,Cinyungwe,,,nyun1248,atla1278,sena1270,language,-16.4757,33.0233,MW MZ ZW,nyu,,I,L,,,
4917,Nyulnyul,,,1,nyul1247,nyul1248,nyul1250,language,-16.9129,122.851,AU,nyv,,I,E,,,
4918,Nyaw,,,1,nyaw1245,taik1256,taid1248,dialect,17.1213,104.151,LA TH,nyw,,I,L,,,
4919,Nganyaywana,,,,ngan1296,pama1250,macl1239,language,-29.581,151.313,AU,nyx,,I,E,,,
4920,Nyakyusa,,"Kinyakyusa, Nyakyusa-Ngonde",5,nyak1260,atla1278,nyak1264,language,-9.71018,33.7763,MW TZ,nyy,,I,L,,,
4921,Tigon Mbembe,,,1,tigo1236,atla1278,juku1258,language,6.983995,10.70849,CM NG,nza,,I,L,,,
4922,Njebi,Njebi,,,njeb1242,atla1278,ndja1234,language,-2.18115,12.7063,CG GA,nzb,,I,L,,,
4923,Nzadi,,"Ngiemba, Lensibun, Ndzé Ntaa",237,nzad1234,atla1278,nzad1235,language,-4.102208,20.194462,CD,nzd,,I,L,,,
4924,Nzima,Nzema,Appolo,2,nzim1238,atla1278,jwir1243,language,5.1785,-2.81123,CI GH,nzi,,I,L,352500,,
4925,Nzakara,,,,nzak1247,atla1278,zand1247,language,4.79567,22.8254,CD CF,nzk,,I,L,,,
4926,Zeme Naga,,,,zeme1240,sino1245,nucl1313,language,25.3499,93.6463,IN,nzm,,I,L,,,
4927,New Zealand Sign Language,New Zealand Sign Language,,,newz1236,sign1238,banz1243,language,-39.2923,175.773,NZ,nzs,,I,L,,,
4928,Central Teke,Teke (Congo Brazzaville),,,teke1279,atla1278,teke1278,dialect,-2.65261,15.2047,CG,nzu,,I,L,,,
4929,Nzakambay,,,,nzak1246,atla1278,kara1477,language,7.66745,15.6675,CF CM TD,nzy,,I,L,,,
4930,Nanga Dama Dogon,,,,nang1261,dogo1299,nang1263,language,14.49,-3.02,ML,nzz,,I,L,,,
4931,Orok,,,83,orok1265,tung1282,ulch1242,language,49.3639,143.128,RU,oaa,,I,L,295,,
4932,Oroch,,,20,oroc1248,tung1282,cent2235,language,50.3235,137.851,RU,oac,,I,L,,,
4933,Old Aramaic-Sam'alian,,,,olda1245,afro1255,aram1259,language,32.84,37.0,SY,oar,,I,A,,,
4934,Old Avar,,,,,,,,,,,oav,,I,H,,,
4935,Obispeño,,,1,obis1242,chum1262,chum1262,language,35.2873,-120.669,US,obi,,I,E,,,
4936,Southern Bontoc,,Southern Bontok,,,,,,,,,obk,,I,L,,,
4937,Oblo,,,,oblo1238,atla1278,unun9906,language,8.18943,14.29,CM,obl,,I,L,,,
4938,Moabite,,,22,moab1234,afro1255,anci1244,dialect,,,JO,obm,,I,A,,,
4939,Obo Manobo,,Obo,,obom1235,aust1307,west2829,language,7.29141,125.09,PH,obo,,I,L,,,
4940,Old Burmese,,,,oldb1235,sino1245,oldm1246,language,21.161961,94.897306,MM,obr,,I,H,,,
4941,Old Breton,,,3,,,,,,,,obt,,I,H,,,
4942,Obulom,,,,obul1239,atla1278,kugb1242,language,4.72908,7.11671,NG,obu,,I,L,,,
4943,Ocaina,,,2,ocai1244,huit1251,nonu1240,language,-2.159,-72.1422,CO PE,oca,,I,L,,,
