traditional,pronunciation,pronunciations,audio,definitions,pos
餐餐,con²⁴con²⁴,四⃞con²⁴con²⁴ 海⃞con⁵³con⁵³ 大⃞con³³con³³ 平⃞con¹¹con¹¹ 南⃞con²⁴con²⁴,01443,每餐、每頓飯食。,名
餓,ngo⁵⁵,四⃞ngo⁵⁵ 海⃞ngo³³ 大⃞ngo⁵³ 平⃞ngo²⁴ 安⃞ngo⁵⁵ 南⃞ngo⁵⁵,09718,飢，肚子裡沒有食物。,
餓死,ngo⁵⁵xi³¹,四⃞ngo⁵⁵xi³¹ 海⃞ngo³³si²⁴ 大⃞ngo⁵³si³¹ 平⃞ngo²⁴si⁵³ 安⃞ngo⁵⁵si³¹ 南⃞ngo⁵⁵xi³¹,09719,沒有進食，因飢餓而死。,動
餔,bu²⁴,四⃞bu²⁴ 海⃞bu⁵³ 大⃞bu³³ 平⃞bu¹¹ 南⃞bu²⁴,00678,原指申時之食，在客語中加「娘」引申作女人、妻子之意。,
餔娘,bu²⁴ngiong¹¹,四⃞bu²⁴ngiong¹¹ 海⃞bu⁵³ngiong⁵⁵ 大⃞bu³³ngiong¹¹³ 平⃞bu¹¹ngiong⁵⁵,00676,妻子。「餔」為申時之食，引申為指妻子。,名
餔娘人,bu²⁴ngiong¹¹ngin¹¹,四⃞bu²⁴ngiong¹¹ngin¹¹ 海⃞bu⁵³ngiong⁵⁵ngin⁵⁵ 平⃞bu¹¹ngiong⁵⁵ngin⁵⁵,00677,婦人。專指已婚女子。,名
餘,i¹¹,四⃞i¹¹ 海⃞rhi⁵⁵ 大⃞rhi¹¹³ 平⃞rhi⁵⁵ 安⃞rhi⁵³ 南⃞i¹¹,05708,多的、剩下的。|殘留的、即將終了的。|某事以外或之後的時間。|整數以外的零數。,|||
餚,hau¹¹,四⃞hau¹¹ 海⃞hau⁵⁵ 大⃞hau¹¹³ 平⃞hau⁵⁵ 安⃞hau⁵³ 南⃞hau¹¹,05059,已煮熟的肉食。,
餞,jien⁵⁵,四⃞jien⁵⁵ 海⃞zien¹¹ 大⃞zien⁵³ 平⃞zien⁵³ 安⃞zien³¹ 南⃞jien⁵⁵,06545,以酒食替人送行。|用糖、蜜、鹽等調味料浸漬而成的食品。,|
餞糖,jien⁵⁵tong¹¹,四⃞jien⁵⁵tong¹¹ 海⃞zien¹¹tong⁵⁵ 大⃞zien⁵³tong¹¹³ 平⃞zien⁵³tong⁵⁵ 安⃞zien³¹tong⁵³ 南⃞jien⁵⁵tong¹¹,06546,食物加糖浸漬的一種處理方法，如蜜餞。,名
館,gon³¹,四⃞gon³¹ 海⃞gon²⁴ 大⃞guan³¹ 平⃞guan⁵³ 安⃞guan³¹ 南⃞gon³¹,04498,供賓客住宿、休息的地方。|房舍、居所。|供人儲藏展覽文物或進行文化、體育等活動的處所。|供人飲食、娛樂或從事某些工作的處所。|官署名。,||||
餳,xiang¹¹,四⃞xiang¹¹ 海⃞sia⁵⁵ 大⃞sia¹¹³ 平⃞sia⁵⁵ 南⃞xiang¹¹,13870,招致、吸引。,
餳人,xiang¹¹ngin¹¹,四⃞xiang¹¹ngin¹¹ 海⃞sia⁵⁵ngin⁵⁵ 大⃞sia¹¹³ngin¹¹³ 平⃞sia⁵⁵ngin⁵⁵ 安⃞siann⁵³ngin⁵³ 南⃞xiang¹¹ngin¹¹,13871,誘惑、引誘人。,動
餵,vi⁵⁵,四⃞vi⁵⁵ 海⃞vui³³ 大⃞vui⁵³ 平⃞vui²⁴ 南⃞vi⁵⁵,13526,飼養，拿食物給動物吃。,
餵豬仔,vi⁵⁵zu²⁴e³¹,四⃞vi⁵⁵zu²⁴e³¹ 南⃞vi⁵⁵zu²⁴e³¹,13527,拿食物給豬吃。僅四縣用，海陸為「供豬」,動
首,su³¹,四⃞su³¹ 海⃞shiu²⁴ 大⃞shiu³¹ 平⃞shiu⁵³ 安⃞shiu³¹ 南⃞su³¹,12180,頭、腦袋。|領袖、帶頭領導的人。|開頭、開端。|最先的、第一的。|出面檢舉告發或自陳罪狀。|量詞。計算詩詞、歌曲等的單位。,|||||
首先,su³¹xien²⁴,四⃞su³¹xien²⁴ 海⃞shiu²⁴sen⁵³ 大⃞shiu³¹sien³³ 平⃞shiu⁵³sen¹¹ 安⃞shiu³¹sien¹¹ 南⃞su³¹xien²⁴,12181,最初，剛開始的時候。,副
首長,su³¹zong³¹,四⃞su³¹zong³¹ 海⃞shiu²⁴zhong²⁴ 大⃞shiu³¹zhong³¹ 平⃞shiu⁵³zhong⁵³ 安⃞shiu³¹zhong³¹ 南⃞su³¹zong³¹,12182,最高階層的長官。,名
香,hiong²⁴,四⃞hiong²⁴ 海⃞hiong⁵³ 大⃞hiong³³ 平⃞hiong¹¹ 安⃞hiong¹¹ 南⃞hiong²⁴,05366,美好芬芳的氣味，與「臭」相反。|用香料製成棒、線、球、餅的物品，可供拜祭鬼神或驅除蚊蟲。|酣暢、痛快。|氣味美好。|比喻女子。|與女性有關的。,|||||
香包,hiong²⁴bau²⁴,四⃞hiong²⁴bau²⁴ 海⃞hiong⁵³bau⁵³ 大⃞hiong³³bau³³ 平⃞hiong¹¹bau¹¹ 安⃞hiong¹¹bau¹¹ 南⃞hiong²⁴bau²⁴,05367,裝香料的小包。民間習俗於端午節佩戴，用以避邪。,名
香味,hiong²⁴mi⁵⁵,四⃞hiong²⁴mi⁵⁵ 海⃞hiong⁵³mui³³ 大⃞hiong³³mui⁵³ 平⃞hiong¹¹mui²⁴ 安⃞hiong¹¹bbi⁵⁵ 南⃞hiong²⁴mi⁵⁵,05378,芳香的氣味。,名
香噴噴,hiong²⁴pun⁵⁵pun⁵⁵,四⃞hiong²⁴pun⁵⁵pun⁵⁵ 海⃞hiong⁵³pun¹¹pun¹¹ 大⃞hiong³³pun⁵³pun⁵³ 平⃞hiong¹¹pun⁵³pun⁵³ 安⃞hiong¹¹pun³¹pun³¹ 南⃞hiong²⁴pun⁵⁵pun⁵⁵,05382,形容香氣濃郁的樣子。,形
香料,hiong²⁴liau⁵⁵,四⃞hiong²⁴liau⁵⁵ 海⃞hiong⁵³liau³³ 大⃞hiong³³liau⁵³ 平⃞hiong¹¹liau²⁴ 安⃞hiong¹¹leeu⁵⁵ 南⃞hiong²⁴liau⁵⁵,05376,含有香味的物料。分為天然生產和人工製造兩大類，用於化妝品、食品等。,名
香櫞,hiong²⁴ien¹¹,四⃞hiong²⁴ien¹¹ 海⃞hiong⁵³rhan⁵⁵ 大⃞hiong³³rhen¹¹³ 平⃞hiong¹¹vien⁵⁵ 安⃞hiong¹¹rhen⁵³ 南⃞hiong²⁴ian¹¹,05373,植物名。芸香科柑屬，常綠小喬木。原產印度。枝上有硬棘針，葉為長橢圓形，葉緣有波狀鈍齒或鋸齒。花為總狀花序或簇生於葉腋。果實為長圓形。可供觀賞、食用及入藥。亦稱為「枸櫞」。|指「佛手」，植物名。芸香科，常綠喬木，刺短小而硬。葉互生，長橢圓形，花有芳香，白色而厚。柑果前端作手指狀分裂，為食品原料，並常供藥用，果皮與花均可提取香油，以充香料。,|
香櫞瓜,hiong²⁴ien¹¹gua²⁴,四⃞hiong²⁴ien¹¹gua²⁴ 海⃞hiong⁵³rhan⁵⁵gua⁵³ 大⃞hiong³³rhen¹¹³gua³³ 平⃞hiong¹¹vien⁵⁵gua¹¹ 安⃞hiong¹¹rhen⁵³gua¹¹ 南⃞hiong²⁴ian¹¹gua²⁴,05379,即「佛手瓜」。植物名。瓜科，多年生蔓性。根塊狀，葉為五角之掌狀葉，葉片具膜質，有卷鬚。果實長橢圓形，具不規則的淺縱溝，狀似佛手，可供食用。,
香氣,hiong²⁴hi⁵⁵,四⃞hiong²⁴hi⁵⁵ 海⃞hiong⁵³hi¹¹ 大⃞hiong³³ki⁵³ 平⃞hiong¹¹hi⁵³ 安⃞hiong¹¹ki³¹ 南⃞hiong²⁴hi⁵⁵,05372,芬芳美好的氣味。,名
香油,hiong²⁴iu¹¹,四⃞hiong²⁴iu¹¹ 海⃞hiong⁵³rhiu⁵⁵ 大⃞hiong³³rhiu¹¹³ 平⃞hiong¹¹rhiu⁵⁵ 安⃞hiong¹¹rhiu⁵³ 南⃞hiong²⁴iu¹¹,05375,泛指全部有香味的油。|用芝麻榨取的油。,名|名
香火,hiong²⁴fo³¹,四⃞hiong²⁴fo³¹ 海⃞hiong⁵³fo²⁴ 大⃞hiong³³fo³¹ 平⃞hiong¹¹fo⁵³ 安⃞hiong¹¹foo³¹ 南⃞hiong²⁴fo³¹,05369,供佛敬神所點的香燈和蠟燭。|指進香朝拜之事。|祭祀祖先所用的香燭，後來多用以指後代子孫或文化傳承者。,名|名|名
香煙,hiong²⁴ien²⁴,四⃞hiong²⁴ien²⁴ 海⃞hiong⁵³rhan⁵³ 大⃞hiong³³rhen³³ 平⃞hiong¹¹rhan¹¹ 南⃞hiong²⁴ian²⁴,05374,焚香所產生的煙。|喻後嗣。因祭祖要燃香，故稱子孫祭祖為接續香煙，引申為傳宗接代。,名|名
香爐,hiong²⁴lu¹¹,四⃞hiong²⁴lu¹¹ 海⃞hiong⁵³lu⁵⁵ 大⃞hiong³³lu¹¹³ 平⃞hiong¹¹lu⁵⁵ 安⃞hiong¹¹lu⁵³ 南⃞hiong²⁴lu¹¹,05377,焚香時所用的器具，多以陶瓷或金屬製成。,名
香爐耳,hiong²⁴lu¹¹ngi³¹,四⃞hiong²⁴lu¹¹ngi³¹ 海⃞hiong⁵³lu⁵⁵ngi²⁴ 大⃞hiong³³lu¹¹³ngi³¹ 平⃞hiong¹¹lu⁵⁵ngi⁵³ 安⃞hiong¹¹lu⁵³ngi³¹ 南⃞hiong²⁴lu¹¹ngi³¹,05381,香爐兩旁便於提攜的把手。,名
香瓜,hiong²⁴gua²⁴,四⃞hiong²⁴gua²⁴ 海⃞hiong⁵³gua⁵³ 大⃞hiong³³gua³³ 平⃞hiong¹¹gua¹¹ 安⃞hiong¹¹gua¹¹ 南⃞hiong²⁴gua²⁴,05371,植物名。瓜科，一年生蔓生草本。原產於熱帶地方的印度和非洲一帶。花黃色，實橢圓，供食用。有香氣，故稱為「香瓜」，亦稱為「甜瓜」。,
香絡仔,hiong²⁴log⁵e³¹,四⃞hiong²⁴log⁵e³¹ 海⃞hiong⁵³log²er⁵⁵ 平⃞hiong¹¹log⁵er⁵³ 南⃞hiong²⁴log⁵e³¹,05380,放置香的袋子。,名
香花,hiong²⁴fa²⁴,四⃞hiong²⁴fa²⁴ 海⃞hiong⁵³fa⁵³ 大⃞hiong³³fa³³ 平⃞hiong¹¹fa¹¹ 安⃞hiong¹¹fa¹¹ 南⃞hiong²⁴fa²⁴,05368,氣味芬芳的花朵。,名
香菇,hiong²⁴gu²⁴,四⃞hiong²⁴gu²⁴ 海⃞hiong⁵³gu⁵³ 大⃞hiong³³gu³³ 平⃞hiong¹¹gu¹¹ 安⃞hiong¹¹gu¹¹ 南⃞hiong²⁴gu²⁴,05370,植物名。香蕈科香蕈屬。寄生植物。原產於我國、日本。寄生於松、栗等枯木幹上，本體肉質，菌蓋表面黑褐色，菌褶白色。目前多以人工培養，供食用。,
香袋仔,hiong²⁴toi⁵⁵e³¹,四⃞hiong²⁴toi⁵⁵e³¹ 海⃞hiong⁵³toi³³er⁵⁵ 平⃞hiong¹¹toi²⁴er⁵³ 南⃞hiong²⁴toi⁵⁵e³¹,05383,人過世以後，用以盛裝香灰的袋子。,名
馬,ma²⁴,四⃞ma²⁴ 海⃞ma⁵³ 大⃞ma³³ 平⃞ma¹¹ 安⃞ma¹¹ 南⃞ma²⁴,08188,動物名。脊椎動物，四肢強健，善跑，能載重行遠，草食性，性溫和。|姓。,|
馬上,ma²⁴song⁵⁵,四⃞ma²⁴song⁵⁵ 海⃞ma⁵³shong³³ 大⃞ma³³shong⁵³ 平⃞ma¹¹shong²⁴ 南⃞ma²⁴song⁵⁵,08195,立刻、即時。,副
馬子,ma²⁴zii³¹,四⃞ma²⁴zii³¹ 海⃞ma⁵³zii²⁴ 大⃞ma³³zii³¹ 平⃞ma¹¹zii⁵³ 南⃞ma²⁴zii³¹,08197,指小馬或剛出生的馬。,名
馬槽,ma²⁴co¹¹,四⃞ma²⁴co¹¹ 海⃞ma⁵³co⁵⁵ 大⃞ma³³co¹¹³ 平⃞ma¹¹co⁵⁵ 安⃞ma¹¹coo⁵³ 南⃞ma²⁴co¹¹,08190,供馬食用和飲水的器具。,名
馬牯,ma²⁴gu³¹,四⃞ma²⁴gu³¹ 海⃞ma⁵³gu²⁴ 大⃞ma³³gu³¹ 平⃞ma¹¹gu⁵³ 安⃞ma¹¹gu³¹ 南⃞ma²⁴gu³¹,08192,動物名。指雄性的馬。,
馬腳,ma²⁴giog²,四⃞ma²⁴giog² 海⃞ma⁵³giog⁵ 大⃞ma³³giog²¹ 平⃞ma¹¹giog² 安⃞ma¹¹gio²⁴ 南⃞ma²⁴giog²,08191,馬的腳。|未燃燒完全的木炭。,名|名
馬薺,ma²⁴qi¹¹,四⃞ma²⁴qi¹¹ 海⃞ma⁵³ci⁵⁵ 大⃞ma³³ci¹¹³ 平⃞ma¹¹ci⁵⁵ 安⃞ma¹¹ci⁵³ 南⃞ma²⁴qi¹¹,08194,植物名。即荸薺。生於溼地或沼澤。地下莖呈球形，皮黑而厚，肉白，可供食用。,
馬路,ma²⁴lu⁵⁵,四⃞ma²⁴lu⁵⁵ 海⃞ma⁵³lu³³ 大⃞ma³³lu⁵³ 平⃞ma¹¹lu²⁴ 南⃞ma²⁴lu⁵⁵,08193,平坦寬闊可行車馬的道路。泛指供人、車行走的道路。,名
馬蹄,ma²⁴tai¹¹,四⃞ma²⁴tai¹¹ 海⃞ma⁵³tai⁵⁵ 大⃞ma³³te¹¹³ 平⃞ma¹¹te⁵⁵ 安⃞ma¹¹te⁵³ 南⃞ma²⁴tai¹¹,08196,馬足。,名
馬車,ma²⁴ca²⁴,四⃞ma²⁴ca²⁴ 海⃞ma⁵³cha⁵³ 大⃞ma³³cha³³ 平⃞ma¹¹cha¹¹ 安⃞ma¹¹cha¹¹ 南⃞ma²⁴ca²⁴,08189,用馬來拉動的車子。,名
馬鈴薯,ma²⁴lang¹¹su¹¹,四⃞ma²⁴lang¹¹su¹¹ 海⃞ma⁵³lang⁵⁵shu⁵⁵ 大⃞ma³³lin³¹shu¹¹³ 平⃞ma¹¹lin⁵⁵shu⁵⁵ 安⃞ma¹¹len⁵³shi⁵³ 南⃞ma²⁴lang¹¹su¹¹,08198,植物名。羽狀複葉，夏日開白色或淡紫色花。地下塊莖亦稱為「馬鈴薯」，形圓如馬鈴，含豐富澱粉，味甘美。,
馬馬虎虎,ma²⁴ma²⁴fu³¹fu³¹,四⃞ma²⁴ma²⁴fu³¹fu³¹ 海⃞ma⁵³ma⁵³fu²⁴fu²⁴ 大⃞ma³³ma³³fu³³fu³³ 平⃞ma¹¹ma¹¹fu⁵³fu⁵³ 安⃞ma¹¹ma¹¹fu¹¹fu¹¹ 南⃞ma²⁴ma²⁴fu¹¹fu¹¹,08199,形容處事敷衍了事。,形
馮,pung¹¹,四⃞pung¹¹ 海⃞pung⁵⁵ 大⃞pung¹¹³ 平⃞pung⁵⁵ 安⃞pung⁵³ 南⃞pung¹¹,10510,姓。,
馴,sun¹¹,四⃞sun¹¹ 海⃞shun⁵⁵ 大⃞shun¹¹³ 平⃞shun⁵⁵ 安⃞sun⁵³ 南⃞sun¹¹,12353,溫和順服。,
馴良,sun¹¹liong¹¹,四⃞sun¹¹liong¹¹ 海⃞shun⁵⁵liong⁵⁵ 大⃞shun¹¹³liong¹¹³ 平⃞shun⁵⁵liong⁵⁵ 安⃞sun⁵³liong⁵³ 南⃞sun¹¹liong¹¹,12354,形容人或動物性情柔順而善良。,形
駁,bog²,四⃞bog² 海⃞bog⁵ 大⃞bog²¹ 平⃞bog² 安⃞boo²⁴ 南⃞bog²,00637,爭辯事理，否定旁人的意見。|裝卸貨物。|哭鬧。|量詞。用以計算具有延續性質事物段落的單位。,|||
駁嘴,bog²zoi⁵⁵,四⃞bog²zoi⁵⁵ 海⃞bog⁵zhoi¹¹ 大⃞bog²¹zhoi⁵³ 平⃞bog²zhe⁵³ 安⃞boo²⁴zhe³¹ 南⃞bog²zoi⁵⁵,00638,爭論。|吵架。,動|動
駐,zu⁵⁵,四⃞zu⁵⁵ 海⃞zhu¹¹ 大⃞zhu⁵³ 平⃞zhu⁵³ 安⃞zhi³¹ 南⃞zu⁵⁵,15024,停止。|停留。,|
駒,gi²⁴,四⃞gi²⁴ 海⃞gi⁵³ 大⃞gi³³ 平⃞gi¹¹ 安⃞gi¹¹ 南⃞gi²⁴,03689,良馬、駿馬。|姓。,|
駕,ga⁵⁵,四⃞ga⁵⁵ 海⃞ga¹¹ 大⃞ga⁵³ 平⃞ga⁵³ 安⃞ga³¹ 南⃞ga⁵⁵,03453,以牲畜拉車。|乘、騎。|控制、操縱。|超越。|車乘的總稱。|舊時對皇帝的尊稱。,|||||
駕駛,ga⁵⁵sii³¹,四⃞ga⁵⁵sii³¹ 海⃞ga¹¹sii²⁴ 大⃞ga⁵³sii³¹ 平⃞ga⁵³sii⁵³ 安⃞ga³¹su³¹ 南⃞ga⁵⁵sii³¹,03454,操縱、控制車船、飛機等交通工具。|駕駛車船或飛機的人。,"動,名|動,名"
駙,fu⁵⁵,四⃞fu⁵⁵ 海⃞fu¹¹ 大⃞fu⁵³ 平⃞fu²⁴ 安⃞fu⁵⁵ 南⃞fu⁵⁵,03179,古時稱駕副車或備用的馬。,
駙馬,fu⁵⁵ma²⁴,四⃞fu⁵⁵ma²⁴ 海⃞fu¹¹ma⁵³ 大⃞fu⁵³ma³³ 平⃞fu²⁴ma¹¹ 安⃞fu⁵⁵ma¹¹ 南⃞fu⁵⁵ma²⁴,03180,職官名。掌管帝王隨從車輛馬匹。漢朝有「駙馬都尉」，而皇帝的女婿，常做這個官。以後遂專稱公主的丈夫為「駙馬」。,
駛,sii³¹,四⃞sii³¹ 海⃞sii²⁴ 大⃞sii³¹ 平⃞sii⁵³ 安⃞su³¹ 南⃞sii³¹,11578,控制車、船或飛機等交通工具的行動。,
駛車仔,sii³¹ca²⁴e³¹,四⃞sii³¹ca²⁴e³¹ 海⃞sii²⁴cha⁵³er⁵⁵ 平⃞sii⁵³cha¹¹er⁵³ 南⃞sii³¹ca²⁴e³¹,11579,開車、駕駛車輛。,動
駝,to¹¹,四⃞to¹¹ 海⃞to⁵⁵ 大⃞to¹¹³ 平⃞to⁵⁵ 安⃞too⁵³ 南⃞to¹¹,13043,駱駝。動物名。哺乳綱偶蹄目駱駝科。原產於北非、阿拉伯等地。身形高大，背上有駝峰，分為單峰和雙峰兩種。雙重眼瞼，可擋風沙。腳下有肉墊，適於行走沙漠。能反芻，有高度耐飢渴的能力。可供騎乘及載貨，是沙漠中的主要負重動物。|與駱駝有關的。|背部彎曲。,||
駭,hoi⁵⁵,四⃞hoi⁵⁵ 海⃞hoi³³ 大⃞hoi⁵³ 平⃞hoi²⁴ 安⃞hoi⁵⁵ 南⃞hoi⁵⁵,05585,吃驚、懼怕。|令人吃驚、可怕的。,|
駱,log⁵,四⃞log⁵ 海⃞log² 大⃞log⁵⁴ 平⃞log⁵ 安⃞loo⁵⁵ 南⃞log⁵,07993,見「駱駝」。|姓。,|
駱駝,log⁵to¹¹,四⃞log⁵to¹¹ 海⃞log²to⁵⁵ 大⃞log⁵⁴to¹¹³ 平⃞log⁵to⁵⁵ 安⃞loo⁵⁵too⁵³ 南⃞log⁵to¹¹,07994,動物名。哺乳類動物。身形高大，背上駝峰有單峰和雙峰兩種。性情溫和，能反芻，可數天不吃不喝，有高度耐飢渴的能力。可供騎乘及載貨，是沙漠中的主要負重動物，被稱為「沙漠之舟」。|形容很會吃的人。,形|形
騰,tin¹¹,四⃞tin¹¹ 海⃞tin⁵⁵ 大⃞tin¹¹³ 平⃞ten⁵⁵ 安⃞ten⁵³ 南⃞tin¹¹,12989,驅馳、乘騎。|空出、挪移、讓出。|姓。,||
骨,gud²,四⃞gud² 海⃞gud⁵ 大⃞gud²¹ 平⃞gud² 安⃞gud²⁴ 南⃞gud²,04688,動物體內支持身體的支架組織。|像骨骼一樣能支撐物體的架子。,|
骨架,gud²ga⁵⁵,四⃞gud²ga⁵⁵ 海⃞gud⁵ga¹¹ 大⃞gud²¹ga⁵³ 平⃞gud²ga⁵³ 安⃞gud²⁴ga³¹ 南⃞gud²ga⁵⁵,04689,支撐物體的架構。|人的體格形態。,名|名
骨筒油,gud²tung¹¹iu¹¹,四⃞gud²tung¹¹iu¹¹ 海⃞gud⁵tung⁵⁵rhiu⁵⁵ 大⃞gud²¹tung¹¹³rhiu¹¹³ 平⃞gud²tung⁵⁵rhiu⁵⁵ 南⃞gud²tung¹¹iu¹¹,04696,指動物骨腔中柔軟的物質。,名
骨節,gud²jied²,四⃞gud²jied² 海⃞gud⁵zied⁵ 大⃞gud²¹zied²¹ 平⃞gud²zied² 安⃞gud²⁴zied²⁴ 南⃞gud²jied²,04692,身體中骨與骨相銜合而可轉動的部分。,名
骨肉,gud²ngiug²,四⃞gud²ngiug² 海⃞gud⁵ngiug⁵ 大⃞gud²¹ngiug²¹ 平⃞gud²ngiug² 安⃞gud²⁴ngiu²⁴ 南⃞gud²ngiug²,04693,指骨頭和肉。|比喻至親。指父母兄妹等。,名|名
骨頭,gud²teu¹¹,四⃞gud²teu¹¹ 海⃞gud⁵teu⁵⁵ 大⃞gud²¹teu¹¹³ 平⃞gud²teu⁵⁵ 安⃞gud²⁴teu⁵³ 南⃞gud²teu¹¹,04695,動物身體內部的支架。,名
骨骸,gud²hai¹¹,四⃞gud²hai¹¹ 海⃞gud⁵hai⁵⁵ 大⃞gud²¹hai¹¹³ 平⃞gud²hai⁵⁵ 安⃞gud²⁴hai⁵³ 南⃞gud²hai¹¹,04691,人或動物死後所留下來的骸骨，為比較文雅的說法。,名
骨骼,gud²gag²,四⃞gud²gag² 海⃞gud⁵gag⁵ 大⃞gud²¹gied²¹ 平⃞gud²gag² 安⃞gud²⁴ga²⁴ 南⃞gud²gag²,04690,聯合許多骨頭，為構成動物形體的骨架。具有保護、製造血球和儲藏礦物質等重要功能。,名
骨髓,gud²sui¹¹,四⃞gud²sui¹¹ 海⃞gud⁵sui⁵⁵ 大⃞gud²¹sui¹¹³ 平⃞gud²sui⁵⁵ 安⃞gud²⁴cue⁵³ 南⃞gud²sui¹¹,04694,一般指人骨腔中柔軟的物質。為造血的器官。,名
骸,hai¹¹,四⃞hai¹¹ 海⃞hai⁵⁵ 大⃞hai¹¹³ 平⃞hai⁵³ 安⃞hai⁵³ 南⃞hai¹¹,04926,骨頭的通稱。,
髀,bi³¹,四⃞bi³¹ 海⃞bi²⁴ 大⃞bi³¹ 平⃞bi⁵³ 安⃞bi³¹ 南⃞bi³¹,00428,人體從肩胛到手腕骨的部分。|指大腿。,|
體,ti³¹,四⃞ti³¹ 海⃞ti²⁴ 大⃞ti³¹ 平⃞ti⁵³ 安⃞te³¹ 南⃞ti³¹,12747,人體或其他動物的全身。|身體的各部分。|物體的本質、形態。|設身處地，為人著想。|親身的。|形式、規模。,|||||
體重,ti³¹cung²⁴,四⃞ti³¹cung²⁴ 海⃞ti²⁴chung⁵³ 大⃞ti³¹chung³³ 平⃞ti⁵³chung¹¹ 安⃞te³¹chung¹¹ 南⃞ti³¹cung²⁴,12748,身體的重量。,名
高,go²⁴,四⃞go²⁴ 海⃞go⁵³ 大⃞go³³ 平⃞go¹¹ 安⃞goo¹¹ 南⃞go²⁴,04292,上端與下端距離長的，與「低」相對。|超過一般水準等級的。|優良。|價格貴的。|年紀大的。|物體直立時的長度。|姓。,||||||
高不將,go²⁴bud²jiong²⁴,四⃞go²⁴bud²jiong²⁴ 海⃞go⁵³bud⁵ziong⁵³ 大⃞go³³bud²¹ziong³³ 平⃞go¹¹bud²ziong¹¹ 南⃞go²⁴bud²jiong²⁴,04312,不得已；不得不這樣。或作「高不而將」,副
高中,go²⁴zung²⁴,四⃞go²⁴zung²⁴ 海⃞go⁵³zhung⁵³ 大⃞go³³zhung³³ 平⃞go¹¹zhung¹¹ 安⃞goo¹¹zhung¹¹ 南⃞go²⁴zung²⁴,04310,高級中學的縮稱。,名
高中,go²⁴zung⁵⁵,四⃞go²⁴zung⁵⁵ 海⃞go⁵³zhung¹¹ 大⃞go³³zhung⁵³ 平⃞go¹¹zhung⁵³ 安⃞goo¹¹zhung³¹ 南⃞go²⁴zung⁵⁵,04311,祝賀他人通過考試的賀辭。,動
高低,go²⁴dai²⁴,四⃞go²⁴dai²⁴ 海⃞go⁵³dai⁵³ 大⃞go³³de³³ 平⃞go¹¹de¹¹ 安⃞goo¹¹de¹¹ 南⃞go²⁴dai²⁴,04294,高處和低處的比較，比喻不平坦。|優劣、高下。|輕重、深淺。,"形,副|形,副|形,副"
高升,go²⁴siin²⁴,四⃞go²⁴siin²⁴ 海⃞go⁵³shin⁵³ 大⃞go³³shin³³ 平⃞go¹¹shin¹¹ 安⃞goo¹¹shin¹¹ 南⃞go²⁴siin²⁴,04305,提高地位、職位或階級。,動
高天天,go²⁴tien²⁴tien²⁴,四⃞go²⁴tien²⁴tien²⁴ 海⃞go⁵³tien⁵³tien⁵³ 大⃞go³³tien³³tien³³ 平⃞go¹¹tien¹¹tien¹¹ 安⃞goo¹¹teen¹¹teen¹¹ 南⃞go²⁴tien²⁴tien²⁴,04316,像天一般高。形容很高的樣子。,形
高尚,go²⁴song⁵⁵,四⃞go²⁴song⁵⁵ 海⃞go⁵³shong³³ 大⃞go³³shong⁵³ 平⃞go¹¹shong²⁴ 安⃞goo¹¹shong⁵⁵ 南⃞go²⁴song⁵⁵,04306,形容人品清高、才能優秀。|形容物品的款式或品質較好。,形|形
高就,go²⁴qiu⁵⁵,四⃞go²⁴qiu⁵⁵ 海⃞go⁵³ciu³³ 大⃞go³³ciu⁵³ 平⃞go¹¹ciu²⁴ 安⃞goo¹¹ciu⁵⁵ 南⃞go²⁴qiu⁵⁵,04303,另行擔任較佳的職位。|敬稱他人的職位、工作。,動|動
高山,go²⁴san²⁴,四⃞go²⁴san²⁴ 海⃞go⁵³san⁵³ 大⃞go³³san³³ 平⃞go¹¹san¹¹ 安⃞goo¹¹san¹¹ 南⃞go²⁴san²⁴,04304,高大的山。,名
高山峎頂,go²⁴san²⁴gien⁵⁵dang³¹,四⃞go²⁴san²⁴gien⁵⁵dang³¹ 海⃞go⁵³san⁵³gien¹¹dang²⁴ 平⃞go¹¹san¹¹gien⁵³den⁵³ 南⃞go²⁴san²⁴gien⁵⁵dang³¹,04319,高山崗上。,名
高山頂崠,go²⁴san²⁴din³¹dung³¹,四⃞go²⁴san²⁴din³¹dung³¹ 海⃞go⁵³san⁵³din²⁴dung²⁴ 大⃞go³³san³³den³¹dung³¹ 平⃞go¹¹san¹¹din⁵³dung⁵³ 南⃞go²⁴san²⁴din³¹dung³¹,04318,山的頂端。泛指最高、最頂端的地方。,名
高峰,go²⁴fung²⁴,四⃞go²⁴fung²⁴ 海⃞go⁵³fung⁵³ 大⃞go³³fung³³ 平⃞go¹¹fung¹¹ 安⃞goo¹¹fung¹¹ 南⃞go²⁴fung²⁴,04295,高的山峰。|事物發展的頂點。,名|名
高度,go²⁴tu⁵⁵,四⃞go²⁴tu⁵⁵ 海⃞go⁵³tu³³ 大⃞go³³tu⁵³ 平⃞go¹¹tu²⁴ 安⃞goo¹¹tu⁵⁵ 南⃞go²⁴tu⁵⁵,04309,地面高出平均海平面的垂直距離。|物體由底部到頂端的距離。|程度上的加強。,"名,形|名,形|名,形"
