traditional,pronunciation,pronunciations,audio,definitions,pos
命底,miang⁵⁵dai³¹,四⃞miang⁵⁵dai³¹ 海⃞miang³³dai²⁴ 大⃞miang⁵³de³¹ 平⃞miang²⁴de⁵³ 安⃞miang⁵⁵de³¹ 南⃞miang⁵⁵dai³¹,08517,先天注定的窮通得失本分，不是後天所能改變的。,副
命恁歪,miang⁵⁵an³¹vai²⁴,四⃞miang⁵⁵an³¹vai²⁴ 海⃞miang³³an²⁴vai⁵³ 大⃞miang⁵³an³¹vai³³ 平⃞miang²⁴an⁵³vai¹¹ 南⃞miang⁵⁵an³¹vai²⁴,08522,命這麼不好。,形
命歪,miang⁵⁵vai²⁴,四⃞miang⁵⁵vai²⁴ 海⃞miang³³vai⁵³ 大⃞miang⁵³vai³³ 平⃞miang²⁴vai¹¹ 南⃞miang⁵⁵vai²⁴,08520,命不好。,形
命歪好算命，人醜好照鏡,miang⁵⁵vai²⁴hau⁵⁵son⁵⁵miang⁵⁵，ngin¹¹cu³¹hau⁵⁵zeu⁵⁵giang⁵⁵,四⃞miang⁵⁵vai²⁴hau⁵⁵son⁵⁵miang⁵⁵，ngin¹¹cu³¹hau⁵⁵zeu⁵⁵giang⁵⁵ 海⃞miang³³vai⁵³hau¹¹son¹¹miang³³，ngin⁵⁵chiu²⁴hau¹¹zhau¹¹giang¹¹ 大⃞miang⁵³vai³³hau⁵³son⁵³miang⁵³，ngin¹¹³chiu³¹hau⁵³zheu⁵³giang⁵³ 平⃞miang²⁴vai¹¹hau⁵³son⁵³miang²⁴，ngin⁵⁵chiu⁵³hau⁵³zhau⁵³giang⁵³ 南⃞miang⁵⁵vai²⁴hau⁵⁵son⁵⁵miang⁵⁵，ngin¹¹cu³¹hau⁵⁵zeu⁵⁵giang⁵⁵,08524,運氣不好才會愛算命，人長得不好看才會愛照鏡子。,諺
命理,miang⁵⁵li²⁴,四⃞miang⁵⁵li²⁴ 海⃞miang³³li⁵³ 大⃞miang⁵³li³³ 平⃞miang²⁴li¹¹ 安⃞miang⁵⁵li³¹ 南⃞miang⁵⁵li²⁴,08519,天命與自然的法則。,名
命運,miang⁵⁵iun⁵⁵,四⃞miang⁵⁵iun⁵⁵ 海⃞miang³³rhun³³ 大⃞miang⁵³rhun⁵³ 平⃞miang²⁴vin²⁴ 安⃞miang⁵⁵bbin⁵⁵ 南⃞miang⁵⁵iun⁵⁵,08518,天命氣運。,名
命重,miang⁵⁵cung²⁴,四⃞miang⁵⁵cung²⁴ 海⃞miang³³chung⁵³ 大⃞miang⁵³chung³³ 平⃞miang²⁴chung¹¹ 安⃞miang⁵⁵chung¹¹ 南⃞miang⁵⁵cung²⁴,08516,命理學上，認為人的命底有輕重之分，命重指的是人的命底厚重，生命力強。,形
命長食得飯多,miang⁵⁵cong¹¹siid⁵ded²fan⁵⁵do²⁴,四⃞miang⁵⁵cong¹¹siid⁵ded²fan⁵⁵do²⁴ 海⃞miang³³chong⁵⁵shid²ded⁵pon³³do⁵³ 大⃞miang⁵³chong¹¹³shid⁵⁴ded²¹pon⁵³do³³ 平⃞miang²⁴chong⁵⁵shid⁵ded²pon²⁴do¹¹ 南⃞miang⁵⁵cong¹¹siid⁵ded²fan⁵⁵do²⁴,08523,人活著才能吃多。是勸人在緊要關頭時，保命才是最重要的。,諺
命題,min⁵⁵ti¹¹,四⃞min⁵⁵ti¹¹ 海⃞min³³ti⁵⁵ 大⃞min⁵³ti¹¹³ 平⃞min²⁴ti⁵⁵ 安⃞miang⁵⁵te⁵³ 南⃞min⁵⁵ti¹¹,08619,出題目。,動
呿,kia²⁴,四⃞kia²⁴ 海⃞kia⁵³ 大⃞kia³³ 平⃞kia¹¹ 安⃞kia¹¹,15397,提出異議。,
咄,dod²,四⃞dod² 海⃞dod⁵ 大⃞dod²¹ 平⃞dod² 安⃞dod²⁴ 南⃞dod²,02370,喝斥。,
咄,doi¹¹,四⃞doi¹¹ 海⃞doi⁵⁵ 大⃞dod²¹ 平⃞doi⁵⁵ 安⃞dod²⁴ 南⃞doi¹¹,02388,斥責。,
咄,dud²,四⃞dud² 海⃞dud⁵ 大⃞dud²¹ 平⃞dod² 安⃞dod²⁴ 南⃞dud²,02518,不停的嘀嘀咕咕。,
和,fo¹¹,四⃞fo¹¹ 海⃞fo⁵⁵ 大⃞fo¹¹³ 平⃞fo⁵⁵ 安⃞foo⁵³ 南⃞fo¹¹,02952,協調爭端，停止爭鬥。|聲音相應和。|剛好符合，剛好配合。|安定、調和。|親睦、調諧。|溫順、安詳。,|||||
和,vo¹¹,四⃞vo¹¹ 海⃞vo⁵⁵ 大⃞vo¹¹³ 平⃞vo⁵⁵ 安⃞bbu⁵³ 南⃞vo¹¹,13547,見「和尚」。,
和合,fo¹¹hab⁵,四⃞fo¹¹hab⁵ 海⃞fo⁵⁵hab² 大⃞fo¹¹³hab⁵⁴ 平⃞fo⁵⁵hab⁵ 安⃞foo⁵³hab⁴³ 南⃞fo¹¹hab⁵,02955,意志相投。,副
和和氣氣,fo¹¹fo¹¹hi⁵⁵hi⁵⁵,四⃞fo¹¹fo¹¹hi⁵⁵hi⁵⁵ 海⃞fo⁵⁵fo⁵⁵hi¹¹hi¹¹ 大⃞fo¹¹³fo¹¹³ki⁵³ki⁵³ 平⃞fo⁵⁵fo⁵⁵hi⁵³hi⁵³ 安⃞foo⁵³foo⁵³ki³¹ki³¹ 南⃞fo¹¹fo¹¹hi⁵⁵hi⁵⁵,02963,態度和藹可親的樣子。,形
和好,fo¹¹ho³¹,四⃞fo¹¹ho³¹ 海⃞fo⁵⁵ho²⁴ 大⃞fo¹¹³ho³¹ 平⃞fo⁵⁵ho⁵³ 安⃞foo⁵³hoo³¹ 南⃞fo¹¹ho³¹,02957,互相親善交好。,副
和尚,vo¹¹song⁵⁵,四⃞vo¹¹song⁵⁵ 海⃞vo⁵⁵shong³³ 大⃞vo¹¹³shong⁵³ 平⃞vo⁵⁵shong²⁴ 安⃞bbu⁵³shong⁵⁵ 南⃞vo¹¹song⁵⁵,13548,泛指男性的僧侶。|民間指做法事的道士。,名|名
和平,fo¹¹pin¹¹,四⃞fo¹¹pin¹¹ 海⃞fo⁵⁵pin⁵⁵ 大⃞fo¹¹³pin¹¹³ 平⃞fo⁵⁵pin⁵⁵ 安⃞foo⁵³pin⁵³ 南⃞fo¹¹pin¹¹,02960,沒有爭鬥、平靜安寧的狀態。,副
和挼,fo¹¹no¹¹,四⃞fo¹¹no¹¹ 海⃞fo⁵⁵no⁵⁵ 大⃞fo¹¹³no¹¹³ 平⃞fo⁵⁵no⁵⁵ 南⃞fo¹¹no¹¹,02959,和順親睦、相處融洽。,副
和服,fo¹¹fug⁵,四⃞fo¹¹fug⁵ 海⃞fo⁵⁵fug² 大⃞fo¹¹³fug⁵⁴ 平⃞fo⁵⁵fug⁵ 安⃞foo⁵³fu⁵⁵ 南⃞fo¹¹fug⁵,02953,日本的傳統服裝。,名
和核來,fo¹¹hed⁵loi¹¹,四⃞fo¹¹hed⁵loi¹¹ 海⃞fo⁵⁵hed²loi⁵⁵ 大⃞fo¹¹³hed⁵⁴loi¹¹³ 平⃞fo⁵⁵hed⁵loi⁵⁵ 南⃞fo¹¹hed⁵loi¹¹,02961,裝設緊密。,動
和毋著,fo¹¹m¹¹do³¹,四⃞fo¹¹m¹¹do³¹ 海⃞fo⁵⁵m⁵⁵do²⁴ 大⃞fo¹¹³m¹¹³do³¹ 平⃞fo⁵⁵m⁵⁵do⁵³ 南⃞fo¹¹m¹¹do³¹,02962,不符合、不能配合。,副
和氣生財,fo¹¹hi⁵⁵sen²⁴coi¹¹,四⃞fo¹¹hi⁵⁵sen²⁴coi¹¹ 海⃞fo⁵⁵hi¹¹sen⁵³coi⁵⁵ 大⃞fo¹¹³ki⁵³sen³³cai¹¹³ 平⃞fo⁵⁵ki⁵³sen¹¹coi⁵⁵ 安⃞foo⁵³ki³¹sang¹¹cai⁵³ 南⃞fo¹¹hi⁵⁵sen²⁴coi¹¹,02964,意指態度溫和而不得罪顧客，生意自然好，也才會致富。,副
和約,fo¹¹iog²,四⃞fo¹¹iog² 海⃞fo⁵⁵rhog⁵ 大⃞fo¹¹³rhog²¹ 平⃞fo⁵⁵rhiog² 安⃞foo⁵³rhio²⁴ 南⃞fo¹¹iog²,02958,交戰國間停戰議和所訂定的條約。,名
和解,fo¹¹gie³¹,四⃞fo¹¹gie³¹ 海⃞fo⁵⁵gai²⁴ 大⃞fo¹¹³gai³¹ 平⃞fo⁵⁵gai⁵³ 安⃞foo⁵³goi³¹ 南⃞fo¹¹giai³¹,02954,停止爭端，歸於和平。|法律上指當事人彼此約定，互相讓步，以終止爭執或防止爭執發生的作為。,動|動
和諧,fo¹¹hai¹¹,四⃞fo¹¹hai¹¹ 海⃞fo⁵⁵hai⁵⁵ 大⃞fo¹¹³hai¹¹³ 平⃞fo⁵⁵hai⁵⁵ 安⃞foo⁵³hai⁵³ 南⃞fo¹¹hai¹¹,02956,和睦融洽。,副
咒,zu⁵⁵,四⃞zu⁵⁵ 海⃞zhiu¹¹ 大⃞zhiu⁵³ 平⃞zhiu⁵³ 安⃞zhiu³¹ 南⃞zu⁵⁵,15008,用法術驅鬼治病的口訣。|用惡毒的言語罵人。|發誓。,||
咒孤罵絕,zu⁵⁵go²⁴ma⁵⁵qied⁵,四⃞zu⁵⁵go²⁴ma⁵⁵qied⁵ 海⃞zhiu¹¹go⁵³ma¹¹cied² 大⃞zhiu⁵³gu³³ma⁵³cied⁵⁴ 平⃞zhiu⁵³go¹¹ma⁵³cied⁵ 安⃞zhiu³¹gu¹¹ma³¹cied⁴³ 南⃞zu⁵⁵go²⁴ma⁵⁵qied⁵,15010,（貶）咒罵他人絕子絕孫。,形
咒誓,zu⁵⁵sii⁵⁵,四⃞zu⁵⁵sii⁵⁵ 海⃞zhiu¹¹shi³³ 大⃞zhiu⁵³shi⁵³ 平⃞zhiu⁵³shi²⁴ 南⃞zu⁵⁵sii⁵⁵,15009,發毒誓。,動
