word,frequency
poznata,4.83
pozvao,4.83
predstavljaju,4.83
prilika,4.83
pristup,4.83
priču,4.83
proizvodi,4.83
reda,4.83
rođenja,4.83
sarajevo,4.83
sastav,4.83
slično,4.83
strana,4.83
sud,4.83
tip,4.83
tvoje,4.83
vremenom,4.83
zadovoljstvo,4.83
značajno,4.83
dobija,4.82
evrope,4.82
festival,4.82
hranu,4.82
inače,4.82
istinu,4.82
nacija,4.82
nauka,4.82
našao,4.82
njihovo,4.82
oružja,4.82
ostalim,4.82
ožujka,4.82
partija,4.82
prvenstvo,4.82
razne,4.82
recimo,4.82
sarajevu,4.82
služi,4.82
srpnja,4.82
svu,4.82
teritorije,4.82
želeo,4.82
avion,4.81
današnje,4.81
drži,4.81
hteo,4.81
isključivo,4.81
ivana,4.81
jesu,4.81
knez,4.81
knjizi,4.81
kontrolu,4.81
međunarodni,4.81
mladi,4.81
narodnog,4.81
naselju,4.81
nato,4.81
njenog,4.81
odnose,4.81
oružje,4.81
pokazuje,4.81
pokušao,4.81
polja,4.81
stare,4.81
stranici,4.81
vašeg,4.81
vojni,4.81
čeka,4.81
širom,4.81
žrtve,4.81
april,4.8
carstva,4.8
dovodi,4.8
došla,4.8
državni,4.8
fakultet,4.8
funkcije,4.8
izdanje,4.8
jun,4.8
kog,4.8
lik,4.8
mart,4.8
most,4.8
nekad,4.8
noge,4.8
polje,4.8
poruka,4.8
poslednje,4.8
pronaći,4.8
radili,4.8
raznih,4.8
reči,4.8
roman,4.8
samog,4.8
siguran,4.8
srednje,4.8
stigao,4.8
svijet,4.8
travnja,4.8
turske,4.8
ukoliko,4.8
vaša,4.8
vašem,4.8
vojsku,4.8
zapadne,4.8
životinja,4.8
američkih,4.79
američkog,4.79
bit,4.79
djela,4.79
događaja,4.79
grčke,4.79
hram,4.79
istoku,4.79
javnosti,4.79
kompanije,4.79
krv,4.79
marija,4.79
najmanje,4.79
napraviti,4.79
nećemo,4.79
polju,4.79
prijatelji,4.79
primjer,4.79
prirode,4.79
radimo,4.79
raznim,4.79
siječnja,4.79
stanovništvo,4.79
sukoba,4.79
uključuje,4.79
ulice,4.79
uticaj,4.79
vezu,4.79
večeras,4.79
vole,4.79
x,4.79
zapadu,4.79
armije,4.78
bolest,4.78
carstvo,4.78
decembar,4.78
državu,4.78
godišnje,4.78
grupu,4.78
hrana,4.78
ista,4.78
istog,4.78
jedva,4.78
kolovoza,4.78
konferencija,4.78
metoda,4.78
nastala,4.78
nedelju,4.78
nemoguće,4.78
nikakve,4.78
novembar,4.78
novim,4.78
odlično,4.78
odluka,4.78
opis,4.78
ozbiljno,4.78
pesme,4.78
popisu,4.78
porodici,4.78
posljednji,4.78
potreban,4.78
sir,4.78
spisak,4.78
stanja,4.78
strah,4.78
supruga,4.78
tela,4.78
umetnosti,4.78
znali,4.78
boja,4.77
crkvu,4.77
delo,4.77
desilo,4.77
dijete,4.77
djeca,4.77
djecu,4.77
el,4.77
fakultetu,4.77
francuskoj,4.77
henry,4.77
ići,4.77
james,4.77
januar,4.77
kapetan,4.77
kompanija,4.77
naime,4.77
neposredno,4.77
osnovna,4.77
ostane,4.77
podatke,4.77
polako,4.77
poslova,4.77
postali,4.77
razvoju,4.77
tačno,4.77
zlo,4.77
znati,4.77
čin,4.77
današnji,4.76
dobru,4.76
francuska,4.76
glavne,4.76
istom,4.76
jul,4.76
kom,4.76
kontakt,4.76
lige,4.76
linije,4.76
mjeseca,4.76
najboljih,4.76
nastavak,4.76
otkrio,4.76
petra,4.76
političkih,4.76
poslao,4.76
prostora,4.76
rusije,4.76
tebi,4.76
trener,4.76
