#ESV	Root	Lat	Lon	Verses	Comment
Ashdod		31.80299971086164	34.6351145939134	Josh 11:22, Josh 13:3, Josh 15:46, Josh 15:47, 1 Sam 5:1, 1 Sam 5:3, 1 Sam 5:5, 1 Sam 5:6, 1 Sam 5:7, 1 Sam 6:17, 2 Chr 26:6, Neh 13:23, Neh 13:24, Isa 20:1, Jer 25:20, Amos 1:8, Amos 3:9, Zech 9:6	
Ashdod's	Ashdod	31.80299971086164	34.6351145939134	Zeph 2:4	
Ashkelon		31.66240510553615	34.54722773494757	Josh 13:3, Judg 1:18, Judg 14:19, 1 Sam 6:17, 2 Sam 1:20, Jer 25:20, Jer 47:5, Jer 47:7, Amos 1:8, Zeph 2:4, Zeph 2:7, Zech 9:5	
Ashkenaz		~40.6	~44.6	Jer 51:27	
Ashnah		~31.8099	~34.9365	Josh 15:33, Josh 15:43	
Ashtaroth		32.8333333333	36.0166666667	Deut 1:4, Josh 9:10, Josh 12:4, Josh 13:12, Josh 13:31, 1 Chr 6:71	
Ashteroth-karnaim		32.7666666667	36.0166666667	Gen 14:5	
Asia		>39.23	>32.73	Acts 2:9, Acts 6:9, Acts 16:6, Acts 19:10, Acts 19:22, Acts 19:26, Acts 19:27, Acts 20:16, Acts 20:18, Acts 21:27, Acts 24:18, Acts 27:2, Rom 16:5, 1 Cor 16:19, 2 Cor 1:8, 2 Tim 1:15, 1 Pet 1:1, Rev 1:4	region
Asshur	Nineveh	>36.359410	>43.152887	Num 24:22, Num 24:24, Ps 83:8, Ezek 27:23	
Assos		39.48955031303715	26.33586734239906	Acts 20:13, Acts 20:14	
Assyria	Nineveh	>36.359410	>43.152887	Gen 2:14, Gen 10:11, Gen 25:18, 2 Kgs 15:19, 2 Kgs 15:20, 2 Kgs 15:29, 2 Kgs 16:7, 2 Kgs 16:8, 2 Kgs 16:9, 2 Kgs 16:10, 2 Kgs 16:18, 2 Kgs 17:3, 2 Kgs 17:4, 2 Kgs 17:5, 2 Kgs 17:6, 2 Kgs 17:23, 2 Kgs 17:24, 2 Kgs 17:26, 2 Kgs 17:27, 2 Kgs 18:7, 2 Kgs 18:9, 2 Kgs 18:11, 2 Kgs 18:13, 2 Kgs 18:14, 2 Kgs 18:16, 2 Kgs 18:17, 2 Kgs 18:19, 2 Kgs 18:23, 2 Kgs 18:28, 2 Kgs 18:30, 2 Kgs 18:31, 2 Kgs 18:33, 2 Kgs 19:4, 2 Kgs 19:6, 2 Kgs 19:8, 2 Kgs 19:10, 2 Kgs 19:11, 2 Kgs 19:17, 2 Kgs 19:20, 2 Kgs 19:32, 2 Kgs 19:36, 2 Kgs 20:6, 2 Kgs 23:29, 1 Chr 5:6, 1 Chr 5:26, 2 Chr 28:16, 2 Chr 28:20, 2 Chr 28:21, 2 Chr 30:6, 2 Chr 32:1, 2 Chr 32:4, 2 Chr 32:7, 2 Chr 32:9, 2 Chr 32:10, 2 Chr 32:11, 2 Chr 32:21, 2 Chr 32:22, 2 Chr 33:11, Ezra 4:2, Ezra 6:22, Neh 9:32, Isa 7:17, Isa 7:18, Isa 7:20, Isa 8:4, Isa 8:7, Isa 10:5, Isa 10:12, Isa 11:11, Isa 11:16, Isa 19:23, Isa 19:24, Isa 19:25, Isa 20:1, Isa 20:4, Isa 20:6, Isa 23:13, Isa 27:13, Isa 36:1, Isa 36:2, Isa 36:4, Isa 36:8, Isa 36:13, Isa 36:15, Isa 36:16, Isa 36:18, Isa 37:4, Isa 37:6, Isa 37:8, Isa 37:10, Isa 37:11, Isa 37:18, Isa 37:21, Isa 37:33, Isa 37:37, Isa 38:6, Jer 2:18, Jer 2:36, Jer 50:17, Jer 50:18, Lam 5:6, Ezek 23:7, Ezek 31:3, Ezek 32:22, Hos 5:13, Hos 7:11, Hos 8:9, Hos 9:3, Hos 10:6, Hos 11:5, Hos 11:11, Hos 12:1, Hos 14:3, Mic 5:6, Mic 7:12, Nahum 3:18, Zeph 2:13, Zech 10:10, Zech 10:11	region
Atad	Abel-mizraim	?	?	Gen 50:10, Gen 50:11	
Ataroth 1		31.60000000000001	35.7	Num 32:3, Num 32:34	
Ataroth 2	Upper Beth-horon	~31.85891795409998	~35.12831317484221	Josh 16:2, Josh 16:7	
Ataroth-addar	Upper Beth-horon	~31.85891795409998	~35.12831317484221	Josh 16:5, Josh 18:13	
Athach		?		1 Sam 30:30	
Atharim	Zephath	~30.880918	~34.630620	Num 21:1	
Athens		37.98333333333333	23.73333333333333	Acts 17:15, Acts 17:16, Acts 17:22, Acts 18:1, 1 Thes 3:1	
Atroth-shophan	Aroer 2	~31.9617	~35.9115	Num 32:35	
Attalia		36.88082580070078	30.69456557778969	Acts 14:25	
Aven	Bethel 1	31.93053920580005	35.22103274923676	Hos 10:8	
Avith	Bozrah 1	~>30.734691	~>35.606250	Gen 36:35, 1 Chr 1:46	
Avva	Hena	~34.467725	~41.964955	2 Kgs 17:24	
Avvim	Hebron	~31.53577362133176	~35.09409986578734	Josh 18:23	
Ayyah	Gaza	31.52481769532773	34.4333647185274	1 Chr 7:28	
Azal	Mount of Olives	~31.77809503341373	~35.2471976093501	Zech 14:5	
Azazel		-		Lev 16:8, Lev 16:10, Lev 16:26	
Azekah		31.70063856043753	34.93618589974822	Josh 10:10, Josh 10:11, Josh 15:35, 1 Sam 17:1, 2 Chr 11:9, Neh 11:30, Jer 34:7	
Azmaveth	Beth-azmaveth	31.834203	35.260706	Ezra 2:24, Neh 12:29	
Azmon		30.958506	34.380500	Num 34:4, Num 34:5, Josh 15:4	~
Aznoth-tabor	Mount Tabor	~32.68695640243183	~35.39091304299688	Josh 19:34	
Azotus	Ashdod	31.80299971086164	34.6351145939134	Acts 8:40	
Baal	Baalath-beer	32.049953	35.733402	1 Chr 4:33	
Baalah 1	Beersheba	~31.24495217357714	~34.8408885849849	Josh 15:29	
Baalah 2	Kiriath-jearim	31.771104?	34.993812?	Josh 15:9, Josh 15:10, 1 Chr 13:6	
Baalath 1		~31.927451	~35.055378	Josh 19:44	
Baalath 2	Baalath 1	~31.927451	~35.055378	1 Kgs 9:18, 2 Chr 8:6	?
Baalath-beer		32.049953	35.733402	Josh 19:8	
Baale-judah	Kiriath-jearim	31.771104?	34.993812?	2 Sam 6:2	
Baal-gad	Mount Hermon	33.41615982399708	35.85725617635589	Josh 11:17, Josh 12:7, Josh 13:5	
Baal-hamon	Mount Hermon	33.41615982399708	35.85725617635589	Sng 8:11	
Baal-hazor		31.979434	35.279229	2 Sam 13:23	
Baal-hermon	Mount Hermon	33.41615982399708	35.85725617635589	1 Chr 5:23	
Baal-meon		31.679454	35.734892	Num 32:38, 1 Chr 5:8, Ezek 25:9	
Baal-peor	Pisgah	~31.76503129703305	~35.71856575741812	Deut 4:3, Hos 9:10	
Baal-perazim	Valley of Rephaim	~31.756332	~35.223059	2 Sam 5:20, 1 Chr 14:11	
Baal-shalishah	Gilgal 2	~32.029737	~35.222604	2 Kgs 4:42	
Baal-tamar	Gibeah 1	~31.82378102460309	~35.23100936128631	Judg 20:33	
Baal-zephon		29.938441?	32.395473?	Ex 14:2, Ex 14:9, Num 33:7	
Babel		32.53650368616845	44.42088287373876	Gen 10:10, Gen 11:9	
Babylon	Babel	32.53650368616845	44.42088287373876	2 Kgs 17:24, 2 Kgs 17:30, 2 Kgs 20:12, 2 Kgs 20:14, 2 Kgs 20:17, 2 Kgs 20:18, 2 Kgs 24:1, 2 Kgs 24:7, 2 Kgs 24:10, 2 Kgs 24:11, 2 Kgs 24:12, 2 Kgs 24:15, 2 Kgs 24:16, 2 Kgs 24:17, 2 Kgs 24:20, 2 Kgs 25:1, 2 Kgs 25:6, 2 Kgs 25:7, 2 Kgs 25:8, 2 Kgs 25:11, 2 Kgs 25:13, 2 Kgs 25:20, 2 Kgs 25:21, 2 Kgs 25:22, 2 Kgs 25:23, 2 Kgs 25:24, 2 Kgs 25:27, 2 Kgs 25:28, 1 Chr 9:1, 2 Chr 32:31, 2 Chr 33:11, 2 Chr 36:6, 2 Chr 36:7, 2 Chr 36:10, 2 Chr 36:18, 2 Chr 36:20, Ezra 2:1, Ezra 5:12, Ezra 5:13, Ezra 5:14, Ezra 5:17, Ezra 6:5, Neh 7:6, Neh 13:6, Est 2:6, Ps 87:4, Ps 137:1, Ps 137:8, Isa 13:1, Isa 13:19, Isa 14:4, Isa 14:22, Isa 21:9, Isa 39:1, Isa 39:3, Isa 39:6, Isa 39:7, Isa 43:14, Isa 47:1, Isa 48:14, Isa 48:20, Jer 20:4, Jer 20:5, Jer 20:6, Jer 21:2, Jer 21:4, Jer 21:7, Jer 21:10, Jer 22:25, Jer 24:1, Jer 25:1, Jer 25:9, Jer 25:11, Jer 25:12, Jer 25:26, Jer 27:6, Jer 27:8, Jer 27:9, Jer 27:11, Jer 27:12, Jer 27:13, Jer 27:14, Jer 27:16, Jer 27:17, Jer 27:18, Jer 27:20, Jer 27:22, Jer 28:2, Jer 28:3, Jer 28:4, Jer 28:6, Jer 28:11, Jer 28:14, Jer 29:1, Jer 29:3, Jer 29:4, Jer 29:10, Jer 29:15, Jer 29:20, Jer 29:21, Jer 29:22, Jer 29:28, Jer 32:2, Jer 32:3, Jer 32:4, Jer 32:5, Jer 32:28, Jer 32:36, Jer 34:1, Jer 34:2, Jer 34:3, Jer 34:7, Jer 34:21, Jer 35:11, Jer 36:29, Jer 37:1, Jer 37:17, Jer 37:19, Jer 38:3, Jer 38:17, Jer 38:18, Jer 38:22, Jer 38:23, Jer 39:1, Jer 39:3, Jer 39:5, Jer 39:6, Jer 39:7, Jer 39:9, Jer 39:11, Jer 39:13, Jer 40:1, Jer 40:4, Jer 40:5, Jer 40:7, Jer 40:9, Jer 40:11, Jer 41:2, Jer 41:18, Jer 42:11, Jer 43:3, Jer 43:10, Jer 44:30, Jer 46:2, Jer 46:13, Jer 46:26, Jer 49:28, Jer 49:30, Jer 50:1, Jer 50:2, Jer 50:8, Jer 50:9, Jer 50:13, Jer 50:14, Jer 50:16, Jer 50:17, Jer 50:18, Jer 50:23, Jer 50:24, Jer 50:28, Jer 50:29, Jer 50:34, Jer 50:35, Jer 50:39, Jer 50:42, Jer 50:43, Jer 50:45, Jer 50:46, Jer 51:1, Jer 51:2, Jer 51:6, Jer 51:7, Jer 51:8, Jer 51:9, Jer 51:11, Jer 51:12, Jer 51:24, Jer 51:29, Jer 51:30, Jer 51:31, Jer 51:33, Jer 51:34, Jer 51:35, Jer 51:37, Jer 51:41, Jer 51:42, Jer 51:44, Jer 51:47, Jer 51:48, Jer 51:49, Jer 51:53, Jer 51:54, Jer 51:55, Jer 51:56, Jer 51:58, Jer 51:59, Jer 51:60, Jer 51:61, Jer 51:64, Jer 52:3, Jer 52:4, Jer 52:9, Jer 52:10, Jer 52:11, Jer 52:12, Jer 52:15, Jer 52:17, Jer 52:26, Jer 52:27, Jer 52:31, Jer 52:32, Ezek 12:13, Ezek 17:12, Ezek 17:16, Ezek 17:20, Ezek 19:9, Ezek 21:19, Ezek 21:21, Ezek 24:2, Ezek 26:7, Ezek 29:18, Ezek 29:19, Ezek 30:10, Ezek 30:24, Ezek 30:25, Ezek 32:11, Dan 1:1, Dan 2:12, Dan 2:14, Dan 2:18, Dan 2:24, Dan 2:48, Dan 2:49, Dan 3:1, Dan 3:12, Dan 3:30, Dan 4:6, Dan 4:29, Dan 4:30, Dan 5:7, Dan 7:1, Mic 4:10, Zech 2:7, Zech 6:10, Matt 1:11, Matt 1:12, Matt 1:17, Acts 7:43, 1 Pet 5:13, Rev 14:8, Rev 16:19, Rev 17:5, Rev 18:2, Rev 18:10, Rev 18:21	
Babylonia	Babel	32.53650368616845	44.42088287373876	Ezra 1:11, Ezra 2:1, Ezra 5:12, Ezra 6:1, Ezra 7:6, Ezra 7:9, Ezra 7:16, Ezra 8:1	
Baharum	Bahurim	~31.824736	~35.388486	1 Chr 11:33	
Bahurim		~31.824736	~35.388486	2 Sam 3:16, 2 Sam 16:5, 2 Sam 17:18, 2 Sam 19:16, 2 Sam 23:31, 1 Kgs 2:8	
Balah	Beersheba	~31.24495217357714	~34.8408885849849	Josh 19:3	
Bamah	Gibeon	31.84684772753698	35.18491237777512	Ezek 20:29	
Bamoth	Pisgah	~31.76503129703305	~35.71856575741812	Num 21:19, Num 21:20	
Bamoth-baal	Pisgah	~31.76503129703305	~35.71856575741812	Num 22:41, Josh 13:17	
Bashan	Golan	>32.80007552505443	>35.93730130476259	Num 21:33, Num 32:33, Deut 1:4, Deut 3:1, Deut 3:3, Deut 3:4, Deut 3:10, Deut 3:11, Deut 3:13, Deut 3:14, Deut 4:43, Deut 4:47, Deut 29:7, Deut 32:14, Deut 33:22, Josh 9:10, Josh 12:4, Josh 12:5, Josh 13:11, Josh 13:12, Josh 13:30, Josh 13:31, Josh 17:1, Josh 17:5, Josh 20:8, Josh 21:6, Josh 21:27, Josh 22:7, 1 Kgs 4:13, 1 Kgs 4:19, 2 Kgs 10:33, 1 Chr 5:11, 1 Chr 5:12, 1 Chr 5:16, 1 Chr 5:23, 1 Chr 6:62, 1 Chr 6:71, Neh 9:22, Ps 22:12, Ps 68:15, Ps 68:22, Ps 135:11, Ps 136:20, Isa 2:13, Isa 33:9, Jer 22:20, Jer 50:19, Ezek 27:6, Ezek 39:18, Amos 4:1, Mic 7:14, Nahum 1:4, Zech 11:2	region
Bath-rabbim	Heshbon	<31.80052000870321	<35.80901866717255	Sng 7:4	
Bealoth	Baalath-beer	32.049953	35.733402	Josh 15:24, 1 Kgs 4:16	
Beautiful Gate	Jerusalem	<31.777444	<35.234935	Acts 3:2, Acts 3:10	
Beer	Eneglaim	~30.998062	~35.498547	Num 21:16	
Beer 2	Beeroth	31.90007449127097	35.21668800602465	Judg 9:21	
Beer-elim	Eneglaim	~30.998062	~35.498547	Isa 15:8	
Beer-lahai-roi	Kadesh-barnea	~30.68771281376111	~34.49479554246946	Gen 24:62, Gen 25:11	
Beeroth		31.90007449127097	35.21668800602465	Josh 9:17, Josh 18:25, 2 Sam 4:2, 2 Sam 23:37, 1 Chr 11:39, Ezra 2:25, Neh 7:29	
Beeroth Bene-jaakan	Mount Hor 1	~30.317396	~35.407152	Deut 10:6	
Beersheba		31.24495217357714	34.8408885849849	Gen 21:14, Gen 21:31, Gen 21:32, Gen 21:33, Gen 22:19, Gen 26:23, Gen 26:33, Gen 28:10, Gen 46:1, Gen 46:5, Josh 15:28, Josh 19:2, Judg 20:1, 1 Sam 3:20, 1 Sam 8:2, 2 Sam 3:10, 2 Sam 17:11, 2 Sam 24:2, 2 Sam 24:7, 2 Sam 24:15, 1 Kgs 4:25, 1 Kgs 19:3, 2 Kgs 12:1, 2 Kgs 23:8, 1 Chr 4:28, 1 Chr 21:2, 2 Chr 19:4, 2 Chr 24:1, 2 Chr 30:5, Neh 11:27, Neh 11:30, Amos 5:5	
Beeshterah	Ashtaroth	32.8333333333	36.0166666667	Josh 21:27	
Bela	Zoar	30.9265225301655	35.4190606947832	Gen 14:2, Gen 14:8	
Bene-berak		32.035782	34.827108	Josh 19:45	uk.geocities.com/jonpartin/joshua4.html
Bene-jaakan	Mount Hor 1	~30.317396	~35.407152	Num 33:31, Num 33:32	
Benjamin Gate	Jerusalem	<31.777444	<35.234935	Jer 20:2, Jer 37:13, Jer 38:7	
Beon	Baal-meon	31.679454	35.734892	Num 32:3	
Berea		40.5167	22.2	Acts 17:10, Acts 17:13	
Bered	Kadesh-barnea	~30.68771281376111	~34.49479554246946	Gen 16:14	
Berothah		33.931480	36.152049	Ezek 47:16	
Berothai	Berothah	33.931480	36.152049	2 Sam 8:8	
Besor		31.398056	34.436667	1 Sam 30:9, 1 Sam 30:10, 1 Sam 30:21	wadi esh sheria
Betah	Berothah	~33.931480	~36.152049	2 Sam 8:8	
Beten		32.934736	35.270799	Josh 19:25	
Beth-anath		~33.146864	~35.427134	Josh 19:38, Judg 1:33	
Beth-anoth		31.558456	35.124483	Josh 15:59	
Bethany 1		31.77166591433378	35.26212203964414	Matt 21:17, Matt 26:6, Mark 11:1, Mark 11:11, Mark 11:12, Mark 14:3, Luke 19:29, Luke 24:50, John 11:1, John 11:18, John 12:1	
Bethany 2		31.8363211491438	35.55260017422344	John 1:28	
Beth-arabah		~31.843320	~35.506490	Josh 15:6, Josh 15:61, Josh 18:18, Josh 18:22	
Beth-arbel		32.56101132918748	35.84782996762625	Hos 10:14	
Beth-ashbea		?	?	1 Chr 4:21	
Beth-aven		31.89571707979081	35.25309824700233	Josh 7:2, Josh 18:12, 1 Sam 13:5, 1 Sam 14:23, Hos 4:15, Hos 5:8, Hos 10:5	
Beth-azmaveth		31.834203	35.260706	Neh 7:28	
Beth-baal-meon	Baal-meon	31.679454	35.734892	Josh 13:17	
Beth-barah	Bethany 2	31.8363211491438	35.55260017422344	Judg 7:24	
Beth-biri	Madmannah	~31.391668	~34.940502	1 Chr 4:31	
Beth-car	Mizpah 3	~31.83273947023218	~35.1801628605877	1 Sam 7:11	
Beth-dagon 1		~31.908	~34.775	Josh 15:41	
