id,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
29,1.09.4,N 呢？,,N ne？ ,where is N,,我的杯子呢?,Where is my cup?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863634
30,1.10.1,PLACE 有 N,,PLACE yǒu N ,there is N at PLACE,,椅子下面有一只小狗,There is a dog under the chair.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863637
31,1.10.1,PLACE 没有 N,,PLACE méiyǒu N ,there isn’t N at PLACE,,这儿没有人。,There isn’t anyone here.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863637
32,1.10.2,和,,hé ,and,,爸爸、妈妈和我,"dad, mom and I",https://chinesezerotohero.teachable.com/courses/188342/lectures/2863641
33,1.10.3,能,,néng ,can,,我能坐这儿吗?。,Can I sit here?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863640
34,1.10.4,请 V,,qǐng V ,please V,,请坐。,Please sit.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863643
35,1.11.1,# 点 # 分,,# diǎn # fēn ,# hour # minute,,十一点十分,11:10,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863644
36,1.11.1,上午／下午,,shàngwǔ／ xiàwǔ ,AM/PM,,下午三点十分,3:10 PM,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863644
37,1.11.2,S TIME V,,S TIME V ,(time phrase),,妈妈六点做饭。,Mom cooks at six.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863645
38,1.11.2,TIME S V,,TIME S V ,(time phrase),,七点我吃饭。,I eat at seven.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863645
39,1.11.3,TIME 前,,TIME qián ,before TIME,,星期五前,before Friday,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863647
40,1.11.3,DURATION 前,,DURATION qián ,DURATION ago,,一个星期前,a week ago,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863647
41,1.12.1,N 怎么样？,,N zěnmeyàng？ ,how is N?,,你的汉语怎么样？,How is your Chinese?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863649
42,1.12.2,(的),,( de) ,(omission of 的),,我身体不太好。,My health isn’t very good.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863650
43,1.12.3,太 A (了),,tài A ( le) ,too A,,天气太冷 (了)。,The weather’s too cold.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863651
44,1.12.3,(不) 太 A,,( bù) tài A ,not too A,,我身体不太好。,My health is not too good.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863651
45,1.12.4,会 V,,huì V ,will V,,你会回家吗？,Will you come home?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863652
46,1.13.1,喂,,wèi ,hello,,喂，李老师在家吗？,"Hello, is Teacher Li home?",https://chinesezerotohero.teachable.com/courses/188342/lectures/2863654
47,1.13.2,在 V (呢),,zài V ( ne) ,V-ing,,我在睡觉 (呢)。,I’m sleeping.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863656
48,1.13.2,没 在 V (呢),,méi zài V ( ne) ,not V-ing,,他们没在看电视 (呢)。,They’re not watching TV.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863655
49,1.13.3,1 (yāo),,1 (yāo),(1 in telephony),,138-0156-7749,1 reads as yāo.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863655
50,1.13.4,V 吧。,,V ba。 ,feel free to V,,这儿没有人，坐吧。,"Nobody’s here, (feel free to) sit.",https://chinesezerotohero.teachable.com/courses/188342/lectures/2863657
